Day,BTC,ETH,XRP,BCH,LTC,NEO
"Jul 01, 2017",2492.60,293.35,0.262855,,40.4
"Jun 30, 2017",2539.24,303.15,0.26606,,41.04
"Jun 29, 2017",2567.56,328.37,0.280565,,42.83
"Jun 28, 2017",2553.03,293.04,0.275391,,40.82
"Jun 27, 2017",2478.45,272.69,0.277288,,41.13
"Jun 26, 2017",2590.57,302.95,0.29877,,44.04
"Jun 25, 2017",2607.25,323.47,0.310816,,44.49
"Jun 24, 2017",2738.52,341.63,0.319188,,47.25
"Jun 23, 2017",2707.34,336.49,0.297718,,47.75
"Jun 22, 2017",2691.03,337.73,0.299886,,47.72
"Jun 21, 2017",2709.43,359.54,0.324623,,47.3
"Jun 20, 2017",2591.26,370.33,0.292194,,50.41
"Jun 19, 2017",2549.03,371.86,0.283977,,46.16
"Jun 18, 2017",2655.35,379.52,0.268085,,47.44
"Jun 17, 2017",2514.01,369.88,0.262358,,36.18
"Jun 16, 2017",2469.57,361.18,0.259473,,30.28
"Jun 15, 2017",2499.58,358.51,0.278196,,30.22
"Jun 14, 2017",2716.88,397.59,0.265823,,30.74
"Jun 13, 2017",2680.91,395.69,0.253823,,29.49
"Jun 12, 2017",2953.22,341.16,0.273075,,33.23
"Jun 11, 2017",2942.41,338.79,0.259445,,30.5
"Jun 10, 2017",2828.14,282.01,0.285806,,29.68
"Jun 09, 2017",2807.44,261.75,0.289695,,30.19
"Jun 08, 2017",2720.49,257.99,0.280902,,28.38
"Jun 07, 2017",2869.38,264.26,0.284677,,30.57
"Jun 06, 2017",2690.84,248.6,0.294028,,30.84
"Jun 05, 2017",2512.40,245.26,0.299862,,28.09
"Jun 04, 2017",2547.79,224.12,0.298386,,27.65
"Jun 03, 2017",2493.72,223.46,0.30046,,29.04
"Jun 02, 2017",2404.03,222.29,0.333645,,28.9
"Jun 01, 2017",2288.33,230.89,0.243946,,25.34
"May 31, 2017",2187.19,231.58,0.20536,,24.29
"May 30, 2017",2255.36,195.61,0.232191,,25.32
"May 29, 2017",2159.43,170.13,0.227189,,24.32
"May 28, 2017",2054.08,158.82,0.212887,,24.01
"May 27, 2017",2196.27,159.82,0.272697,,23.4
"May 26, 2017",2320.89,175.22,0.245083,,30.33
"May 25, 2017",2446.24,189.85,0.291834,,34.47
"May 24, 2017",2321.37,182.65,0.325054,,32.12
"May 23, 2017",2191.56,170.82,0.313347,,25.3
"May 22, 2017",2043.19,158.17,0.338403,,26.14
